Date,Region,Troops_Deployed,Mission_Type,Budget_Allocated,Equipment_Allocated,Supplies_Allocated,Mission_Success
31-01-2020,East,802,Training,73734,100,4269,0
29-02-2020,West,501,Reconnaissance,80467,487,1074,1
31-03-2020,North,829,Training,62662,313,3761,1
30-04-2020,East,655,Training,22688,332,1648,1
31-05-2020,East,261,Reconnaissance,35342,76,2215,1
30-06-2020,West,301,Support,47157,275,4354,1
31-07-2020,North,369,Reconnaissance,77863,326,2991,0
31-08-2020,North,962,Support,62083,335,3160,0
30-09-2020,East,915,Training,75733,146,3624,1
31-10-2020,South,370,Training,99045,333,3551,1
30-11-2020,East,555,Training,44698,416,504,1
31-12-2020,East,561,Combat,90623,497,1376,1
31-01-2021,East,826,Support,32671,366,1491,1
28-02-2021,East,351,Combat,35184,353,4642,1
31-03-2021,West,801,Combat,52107,196,4864,1
30-04-2021,North,395,Reconnaissance,96202,53,4965,1
31-05-2021,West,824,Combat,61663,84,1135,1
30-06-2021,West,819,Reconnaissance,25708,241,2193,1
31-07-2021,West,848,Reconnaissance,59811,98,2182,1
31-08-2021,East,437,Combat,12811,66,619,1
30-09-2021,South,978,Support,66250,221,1330,0
31-10-2021,North,152,Support,82082,269,4175,1
30-11-2021,South,891,Support,44754,207,1869,1
31-12-2021,West,316,Support,21411,95,1240,1
31-01-2022,West,863,Support,12911,422,616,1
28-02-2022,South,287,Combat,77270,55,3338,1
31-03-2022,South,479,Combat,93763,148,1650,1
30-04-2022,South,592,Training,18680,429,2431,0
31-05-2022,West,140,Support,94896,282,1512,1
30-06-2022,West,256,Combat,93879,86,2164,0
31-07-2022,North,114,Training,81295,329,1581,1
31-08-2022,North,912,Support,98614,398,1012,1
30-09-2022,West,164,Reconnaissance,21111,351,3349,1
31-10-2022,South,956,Training,47504,230,1059,1
30-11-2022,South,938,Combat,11802,144,4172,1
31-12-2022,North,620,Reconnaissance,18155,148,3843,1
31-01-2023,West,443,Reconnaissance,83656,237,4570,0
28-02-2023,North,228,Reconnaissance,49384,165,1970,1
31-03-2023,North,747,Training,57254,240,1080,1
30-04-2023,East,571,Combat,31918,302,2794,1
31-05-2023,East,162,Reconnaissance,95981,465,3647,1
30-06-2023,East,238,Support,70713,210,4749,1
31-07-2023,South,598,Reconnaissance,40306,305,2179,0
31-08-2023,West,692,Reconnaissance,26646,372,4006,1
30-09-2023,West,491,Training,56843,177,3244,0
31-10-2023,West,774,Training,26371,67,3856,1
30-11-2023,West,518,Combat,87371,330,4545,1
31-12-2023,East,388,Support,12049,272,1743,1
31-01-2024,South,478,Training,41616,103,3618,1
29-02-2024,South,872,Reconnaissance,30932,107,2641,0
31-03-2024,East,589,Combat,39855,372,3559,0
30-04-2024,South,330,Reconnaissance,71434,409,3459,1
31-05-2024,East,140,Reconnaissance,82694,223,2765,1
30-06-2024,West,127,Training,53016,329,2979,0
31-07-2024,East,234,Combat,17400,163,2135,0
31-08-2024,West,300,Support,52642,337,2257,1
30-09-2024,West,939,Support,25151,480,4952,0
31-10-2024,North,879,Training,61407,391,2570,1
30-11-2024,East,132,Training,76690,200,3349,1
31-12-2024,North,147,Combat,14499,499,3751,0
31-01-2025,East,602,Support,16295,176,4230,0
28-02-2025,East,506,Support,69040,204,2989,1
31-03-2025,North,673,Support,22183,435,2131,1
30-04-2025,North,827,Reconnaissance,39299,322,3316,1
31-05-2025,East,904,Support,22874,153,1515,1
30-06-2025,South,198,Reconnaissance,42711,466,1848,1
31-07-2025,West,783,Combat,15539,442,3587,1
31-08-2025,North,971,Reconnaissance,63351,348,3339,1
30-09-2025,West,825,Combat,71267,295,835,1
31-10-2025,South,646,Support,58354,225,1395,0
30-11-2025,South,838,Support,12557,88,4046,1
31-12-2025,South,712,Combat,48360,219,1351,1
31-01-2026,North,561,Training,92018,296,2187,1
28-02-2026,South,742,Combat,12200,75,2431,1
31-03-2026,North,868,Training,78497,404,4246,0
30-04-2026,South,104,Reconnaissance,56975,355,2927,1
31-05-2026,West,317,Reconnaissance,31357,458,2068,0
30-06-2026,West,602,Reconnaissance,87505,457,4500,1
31-07-2026,East,866,Support,12869,62,3238,0
31-08-2026,West,497,Reconnaissance,71135,365,3998,0
30-09-2026,East,970,Training,60108,440,4413,0
31-10-2026,West,894,Reconnaissance,48467,362,1566,1
30-11-2026,North,492,Combat,33328,85,4880,1
31-12-2026,West,306,Combat,96831,222,2944,1
31-01-2027,East,114,Support,13987,69,4607,1
28-02-2027,East,957,Combat,68871,370,3873,1
31-03-2027,South,653,Training,32399,313,4469,0
30-04-2027,North,991,Reconnaissance,56214,449,3046,1
31-05-2027,West,560,Support,96416,191,1253,0
30-06-2027,South,790,Reconnaissance,80271,420,2582,1
31-07-2027,West,674,Reconnaissance,54064,192,3274,0
31-08-2027,West,963,Training,80091,141,3396,1
30-09-2027,South,842,Combat,50818,403,4685,0
31-10-2027,South,340,Combat,55525,371,1275,1
30-11-2027,South,663,Reconnaissance,29830,337,2125,1
31-12-2027,South,195,Support,27429,264,3569,1
31-01-2028,South,999,Combat,16893,496,917,0
29-02-2028,West,833,Support,89909,391,614,1
31-03-2028,South,584,Combat,57333,100,1116,1
30-04-2028,North,506,Support,13436,202,4474,1
